city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Atimonan,14.0036,121.9199,Philippines,PH,Quezon,,63432,63432
Hilongos,10.3667,124.7500,Philippines,PH,Leyte,,63431,63431
Goa,13.7000,123.5000,Philippines,PH,Camarines Sur,,63308,63308
Rosales,15.8944,120.6328,Philippines,PH,Pangasinan,,63081,63081
Nagcarlan,14.1364,121.4165,Philippines,PH,Laguna,,63057,63057
Lutayan,6.6000,124.8500,Philippines,PH,Maguindanao,,63029,63029
Tangub,8.0667,123.7500,Philippines,PH,Misamis Occidental,,63011,63011
Saravia,10.8833,122.9667,Philippines,PH,Negros Occidental,,62921,62921
Kapatagan,7.9000,123.7667,Philippines,PH,Lanao del Norte,,62853,62853
Tigbauan,10.6747,122.3776,Philippines,PH,Iloilo,,62706,62706
San Jose,10.7500,121.9500,Philippines,PH,Antique,admin,62534,62534
Villasis,15.9000,120.5833,Philippines,PH,Pangasinan,,62333,62333
Patikul,6.0667,121.1000,Philippines,PH,Sulu,,62287,62287
Parang,5.9167,120.9167,Philippines,PH,Sulu,,62172,62172
Isabela,10.2000,122.9833,Philippines,PH,Negros Occidental,,62146,62146
Bay,14.1833,121.2833,Philippines,PH,Laguna,,62143,62143
Lantapan,8.0005,125.0235,Philippines,PH,Bukidnon,,61776,61776
Roxas,17.1167,121.6167,Philippines,PH,Isabela,,61773,61773
Buenavista,8.9744,125.4090,Philippines,PH,Agusan del Norte,,61614,61614
Tuao,17.7333,121.4500,Philippines,PH,Cagayan,,61535,61535
Bayombong,16.4833,121.1500,Philippines,PH,Nueva Vizcaya,admin,61512,61512
Opol,8.5167,124.5667,Philippines,PH,Misamis Oriental,,61503,61503
Aurora,13.3500,122.5167,Philippines,PH,Quezon,,61473,61473
Laoang,12.5667,125.0167,Philippines,PH,Northern Samar,,61359,61359
Kiamba,5.9833,124.6167,Philippines,PH,Sarangani,,61058,61058
Quezon,9.2333,118.0333,Philippines,PH,Palawan,,60980,60980
Candon,17.2000,120.4500,Philippines,PH,Ilocos Sur,,60623,60623
Bansalan,6.7833,125.2167,Philippines,PH,Davao del Sur,,60440,60440
Calinog,11.1333,122.5000,Philippines,PH,Iloilo,,60413,60413
Sibalom,10.7833,122.0167,Philippines,PH,Antique,,60306,60306
Santa Barbara,10.8231,122.5344,Philippines,PH,Iloilo,,60215,60215
Itogon,16.3667,120.6833,Philippines,PH,Benguet,,59820,59820
Poblacion,10.2500,123.9500,Philippines,PH,Cebu,,59712,59712
Jose Pañganiban,14.3000,122.7000,Philippines,PH,Camarines Norte,,59639,59639
Abuyog,10.7458,125.0122,Philippines,PH,Leyte,,59571,59571
Gubat,12.9167,124.1167,Philippines,PH,Sorsogon,,59534,59534
Solano,16.5239,121.1919,Philippines,PH,Nueva Vizcaya,,59517,59517
Maasin,5.8667,125.0000,Philippines,PH,Sarangani,,59468,59468
Sibulan,9.3500,123.2833,Philippines,PH,Negros Oriental,,59455,59455
Cambanugoy,7.5386,125.7508,Philippines,PH,Davao del Norte,,59322,59322
Angat,14.9281,121.0293,Philippines,PH,Bulacan,,59237,59237
Obando,14.7000,120.9167,Philippines,PH,Bulacan,,59197,59197
Paracale,14.2833,122.7833,Philippines,PH,Camarines Norte,,59149,59149
Baao,13.4535,123.3654,Philippines,PH,Camarines Sur,,58849,58849
Cabatuan,10.8833,122.4833,Philippines,PH,Iloilo,,58442,58442
Mamungan,8.1167,124.2167,Philippines,PH,Lanao del Norte,,58383,58383
Ragay,13.8183,122.7923,Philippines,PH,Camarines Sur,,58214,58214
Santa Cruz,15.7667,119.9167,Philippines,PH,Zambales,,58151,58151
Morong,14.5119,121.2389,Philippines,PH,Rizal,,58118,58118
Palompon,11.0500,124.3833,Philippines,PH,Leyte,,58108,58108
Santo Domingo,15.5833,120.8667,Philippines,PH,Nueva Ecija,,57943,57943
Castilla,12.9486,123.8822,Philippines,PH,Sorsogon,,57827,57827
Moncada,15.7333,120.5667,Philippines,PH,Tarlac,,57787,57787
Teresa,14.5586,121.2083,Philippines,PH,Rizal,,57755,57755
Botolan,15.2896,120.0245,Philippines,PH,Zambales,,57707,57707
San Remigio,11.0000,123.9500,Philippines,PH,Cebu,,57557,57557
Milagros,12.2333,123.5000,Philippines,PH,Masbate,,57473,57473
Ilog,10.0333,122.7667,Philippines,PH,Negros Occidental,,57389,57389
Asingan,16.0023,120.6695,Philippines,PH,Pangasinan,,57355,57355
Masantol,14.9000,120.7167,Philippines,PH,Pampanga,,57063,57063
Jinoba-an,9.6018,122.4668,Philippines,PH,Negros Occidental,,56819,56819
Matanao,6.7500,125.2333,Philippines,PH,Davao del Sur,,56755,56755
Irosin,12.7000,124.0333,Philippines,PH,Sorsogon,,56662,56662
Gattaran,18.0667,121.6500,Philippines,PH,Cagayan,,56661,56661
Kananya,11.1833,124.5667,Philippines,PH,Leyte,,56575,56575
Tulunan,6.8333,124.8833,Philippines,PH,Cotabato,,56513,56513
Calatagan,13.8322,120.6322,Philippines,PH,Batangas,,56449,56449
Santa Cruz,13.4833,122.0333,Philippines,PH,Marinduque,,56408,56408
Tandag,9.0667,126.1833,Philippines,PH,Surigao del Sur,admin,56364,56364
Taal,13.8833,120.9333,Philippines,PH,Batangas,,56327,56327
Malvar,14.0417,121.1583,Philippines,PH,Batangas,,56270,56270
Baganga,7.5752,126.5585,Philippines,PH,Davao Oriental,,56241,56241
Uson,12.2253,123.7834,Philippines,PH,Masbate,,56168,56168
San Fernando,7.9167,125.3333,Philippines,PH,Bukidnon,,56138,56138
Orion,14.6206,120.5817,Philippines,PH,Bataan,,56002,56002
Placer,11.8667,123.9167,Philippines,PH,Masbate,,55826,55826
Pavia,10.7750,122.5417,Philippines,PH,Iloilo,,55603,55603
Basey,11.2817,125.0683,Philippines,PH,Samar,,55480,55480
Lagonoy,13.7333,123.5167,Philippines,PH,Camarines Sur,,55465,55465
Rosario,16.2333,120.4833,Philippines,PH,La Union,,55458,55458
San Mariano,16.9833,122.0167,Philippines,PH,Isabela,,55370,55370
Medellin,11.1286,123.9622,Philippines,PH,Cebu,,55332,55332
Tigaon,13.6333,123.5000,Philippines,PH,Camarines Sur,,55272,55272
Alangalang,11.2000,124.8500,Philippines,PH,Leyte,,55235,55235
Batac,18.0554,120.5649,Philippines,PH,Ilocos Norte,,55201,55201
San Francisco,10.6500,124.3500,Philippines,PH,Cebu,,55180,55180
Santa Ana,15.0939,120.7681,Philippines,PH,Pampanga,,55178,55178
Sigaboy,6.6500,126.0667,Philippines,PH,Davao Oriental,,55109,55109
Tanauan,11.1167,125.0167,Philippines,PH,Leyte,,55021,55021
Manapla,10.9580,123.1230,Philippines,PH,Negros Occidental,,54845,54845
New Corella,7.5866,125.8237,Philippines,PH,Davao del Norte,,54844,54844
Esperanza,8.6760,125.6454,Philippines,PH,Agusan del Sur,,54801,54801
Boac,13.4500,121.8333,Philippines,PH,Marinduque,admin,54730,54730
Naval,11.5833,124.4500,Philippines,PH,Biliran,admin,54692,54692
Binalonan,16.0500,120.6000,Philippines,PH,Pangasinan,,54555,54555
Mansalay,12.5204,121.4385,Philippines,PH,Oriental Mindoro,,54533,54533
Canlaon,10.3833,123.2000,Philippines,PH,Negros Oriental,,54509,54509
Jasaan,8.6500,124.7500,Philippines,PH,Misamis Oriental,,54478,54478
Naguilian,16.5333,120.4000,Philippines,PH,La Union,,54221,54221
Barotac Nuevo,10.9000,122.7000,Philippines,PH,Iloilo,,54146,54146
San Luis,15.0400,120.7919,Philippines,PH,Pampanga,,54106,54106
Vigan,17.5747,120.3869,Philippines,PH,Ilocos Sur,admin,53879,53879
Magsaysay,6.7667,125.1833,Philippines,PH,Davao del Sur,,53876,53876
Santa Maria,6.5500,125.4667,Philippines,PH,Davao del Sur,,53671,53671
Upi,7.0289,124.1650,Philippines,PH,Maguindanao,,53583,53583
Bambang,16.3825,121.1100,Philippines,PH,Nueva Vizcaya,,53433,53433
Hagonoy,6.6833,125.3000,Philippines,PH,Davao del Sur,,53309,53309
Paombong,14.8311,120.7892,Philippines,PH,Bulacan,,53294,53294
Roxas,12.5833,121.5000,Philippines,PH,Oriental Mindoro,,53201,53201
San Simon,14.9980,120.7800,Philippines,PH,Pampanga,,53198,53198
Pangantocan,7.8333,124.8333,Philippines,PH,Bukidnon,,53126,53126
Mulanay,13.5222,122.4042,Philippines,PH,Quezon,,53123,53123
Tiwi,13.4585,123.6805,Philippines,PH,Albay,,53120,53120
Guiuan,11.0333,125.7333,Philippines,PH,Eastern Samar,,52991,52991
Malay,11.9000,121.9167,Philippines,PH,Aklan,,52973,52973
Ibaan,13.8176,121.1330,Philippines,PH,Batangas,,52970,52970
San Manuel,16.0656,120.6667,Philippines,PH,Pangasinan,,52939,52939
Burauen,10.9833,124.9000,Philippines,PH,Leyte,,52732,52732
Ramon,16.7833,121.5333,Philippines,PH,Isabela,,52707,52707
Lian,14.0333,120.6500,Philippines,PH,Batangas,,52660,52660
Diffun,16.6000,121.4667,Philippines,PH,Quirino,,52569,52569
Minalabac,13.5667,123.1833,Philippines,PH,Camarines Sur,,52390,52390
Ajuy,11.1725,123.0196,Philippines,PH,Iloilo,,52268,52268
Bato,13.3561,123.3639,Philippines,PH,Camarines Sur,,52137,52137
Molave,8.0833,123.4833,Philippines,PH,Zamboanga del Sur,,52006,52006
San Joaquin,10.6000,122.0833,Philippines,PH,Iloilo,,51892,51892
Pontevedra,10.3667,122.8833,Philippines,PH,Negros Occidental,,51866,51866
Alfonso,14.1379,120.8552,Philippines,PH,Cavite,,51839,51839
Tagkawayan,13.9667,122.5333,Philippines,PH,Quezon,,51832,51832
Coron,12.0000,120.2000,Philippines,PH,Palawan,,51803,51803
San Isidro,15.2667,120.9000,Philippines,PH,Nueva Ecija,,51612,51612
Trento,8.0459,126.0614,Philippines,PH,Agusan del Sur,,51565,51565
Lucban,14.1133,121.5569,Philippines,PH,Quezon,,51475,51475
Carigara,11.3000,124.6833,Philippines,PH,Leyte,,51345,51345
Cogan,10.5833,123.9667,Philippines,PH,Cebu,,51325,51325
Tapas,11.2667,122.5333,Philippines,PH,Capiz,,51313,51313
Dumanjog,10.0500,123.4833,Philippines,PH,Cebu,,51210,51210
Mercedes,14.1093,123.0109,Philippines,PH,Camarines Norte,,50841,50841
Aurora,7.9484,123.5819,Philippines,PH,Zamboanga del Sur,,50755,50755
Iba,15.3333,119.9833,Philippines,PH,Zambales,admin,50506,50506
Buenavista,10.7000,122.6333,Philippines,PH,Iloilo,,50437,50437
Cataingan,12.0000,123.9833,Philippines,PH,Masbate,,50327,50327
Bani,16.1869,119.8592,Philippines,PH,Pangasinan,,50306,50306
Pila,14.2333,121.3667,Philippines,PH,Laguna,,50289,50289
Kitaotao,7.6397,125.0089,Philippines,PH,Bukidnon,,50260,50260
El Salvador,8.5667,124.5167,Philippines,PH,Misamis Oriental,,50204,50204
Cabagan,17.4333,121.7667,Philippines,PH,Isabela,,50174,50174
Urbiztondo,15.8227,120.3295,Philippines,PH,Pangasinan,,50170,50170
Buluan,6.7154,124.7854,Philippines,PH,Maguindanao,,50008,50008
Leon,10.7808,122.3894,Philippines,PH,Iloilo,,49875,49875
Barobo,8.5500,126.2000,Philippines,PH,Surigao del Sur,minor,49730,49730
Donsol,12.9167,123.6000,Philippines,PH,Sorsogon,,49711,49711
Titay,7.8682,122.5613,Philippines,PH,Zamboanga Sibugay,,49673,49673
Ibajay,11.8167,122.1667,Philippines,PH,Aklan,,49564,49564
Zaragoza,15.4531,120.7911,Philippines,PH,Nueva Ecija,,49387,49387
Magpet,7.1167,125.1167,Philippines,PH,Cotabato,,49201,49201
Kalamansig,6.5667,124.0500,Philippines,PH,Sultan Kudarat,,49059,49059
Pasacao,13.5167,123.0500,Philippines,PH,Camarines Sur,,49035,49035
Cardona,14.4861,121.2289,Philippines,PH,Rizal,,49034,49034
Claveria,8.6100,124.8947,Philippines,PH,Misamis Oriental,,48906,48906
Kiblawan,6.6167,125.2167,Philippines,PH,Davao del Sur,,48897,48897
Libungan,7.2500,124.5167,Philippines,PH,Cotabato,,48768,48768
Hamtic,10.7000,121.9833,Philippines,PH,Antique,,48592,48592
Peñablanca,17.6333,121.7833,Philippines,PH,Cagayan,,48584,48584
Estancia,11.4500,123.1500,Philippines,PH,Iloilo,,48546,48546
San Narciso,13.5677,122.5667,Philippines,PH,Quezon,,48461,48461
Padre Garcia,13.8833,121.2167,Philippines,PH,Batangas,,48302,48302
Sibonga,10.0333,123.5667,Philippines,PH,Cebu,,48186,48186
Bangued,17.5965,120.6179,Philippines,PH,Abra,admin,48163,48163
Poblacion,10.4667,123.9667,Philippines,PH,Cebu,,47898,47898
General Tinio,15.3500,121.0500,Philippines,PH,Nueva Ecija,,47865,47865
Amulung,17.8387,121.7235,Philippines,PH,Cagayan,,47860,47860
Alaminos,14.0635,121.2451,Philippines,PH,Laguna,,47859,47859
Impasugong,8.3000,125.0000,Philippines,PH,Bukidnon,,47859,47859
Asturias,10.5679,123.7172,Philippines,PH,Cebu,,47857,47857
Bantacan,7.5333,126.1333,Philippines,PH,Compostela Valley,,47726,47726
Masinloc,15.5333,119.9500,Philippines,PH,Zambales,,47719,47719
Minalin,14.9667,120.6833,Philippines,PH,Pampanga,,47713,47713
Tuba,16.3167,120.5500,Philippines,PH,Baguio,,47648,47648
Caramoan,13.7707,123.8631,Philippines,PH,Camarines Sur,,47605,47605
President Roxas,7.1544,125.0558,Philippines,PH,Cotabato,,47575,47575
Santa Ignacia,15.6167,120.4333,Philippines,PH,Tarlac,,47538,47538
Sison,16.1667,120.5167,Philippines,PH,Pangasinan,,47518,47518
Dumingag,8.1667,123.3500,Philippines,PH,Zamboanga del Sur,,47485,47485
Aringay,16.3982,120.3555,Philippines,PH,La Union,,47458,47458
Dulag,10.9525,125.0317,Philippines,PH,Leyte,,47300,47300
Tubod,8.0500,123.8000,Philippines,PH,Lanao del Norte,admin,47165,47165
Isabel,10.9333,124.4333,Philippines,PH,Leyte,,46915,46915
Siocon,7.7000,122.1333,Philippines,PH,Zamboanga del Norte,,46907,46907
Pio Duran,13.0333,123.4500,Philippines,PH,Albay,,46693,46693
Rosario,8.3814,126.0015,Philippines,PH,Agusan del Sur,,46683,46683
San Pascual,13.1333,122.9833,Philippines,PH,Masbate,,46674,46674
Norala,6.5500,124.6667,Philippines,PH,South Cotabato,,46642,46642
Mahayag,8.1333,123.3833,Philippines,PH,Zamboanga del Sur,,46516,46516
Pontevedra,11.4833,122.8333,Philippines,PH,Capiz,,46428,46428
Albuera,10.9186,124.6923,Philippines,PH,Leyte,,46332,46332
Carmen,9.8167,124.2000,Philippines,PH,Bohol,,46306,46306
Ayungon,9.8584,123.1468,Philippines,PH,Negros Oriental,,46303,46303
Mabini,13.7167,120.9000,Philippines,PH,Batangas,,46211,46211
Dumarao,11.2667,122.6833,Philippines,PH,Capiz,,46157,46157
Panay,11.5500,122.8000,Philippines,PH,Capiz,minor,46114,46114
Ocampo,13.5594,123.3761,Philippines,PH,Camarines Sur,,45934,45934
Tibigan,9.9500,123.9667,Philippines,PH,Bohol,,45893,45893
Inabanga,10.0333,124.0667,Philippines,PH,Bohol,,45880,45880
Wao,7.6404,124.7257,Philippines,PH,Lanao del Sur,,45862,45862
Noveleta,14.4333,120.8833,Philippines,PH,Cavite,,45846,45846
Barotac Viejo,11.0500,122.8500,Philippines,PH,Iloilo,,45808,45808
Jones,16.5583,121.7000,Philippines,PH,Isabela,,45666,45666
Dauis,9.6167,123.8500,Philippines,PH,Bohol,minor,45663,45663
Katipunan,8.5134,123.2847,Philippines,PH,Zamboanga del Norte,,45577,45577
Odiongan,12.4000,122.0000,Philippines,PH,Romblon,,45367,45367
Dingle,11.0500,122.6667,Philippines,PH,Iloilo,,45335,45335
Talisay,14.1000,121.0167,Philippines,PH,Batangas,,45301,45301
Malinao,13.4000,123.7000,Philippines,PH,Albay,,45301,45301
Pilar,11.4833,123.0000,Philippines,PH,Capiz,,45287,45287
Guinayangan,13.9000,122.4500,Philippines,PH,Quezon,,45155,45155
Bunawan,8.1781,125.9935,Philippines,PH,Agusan del Sur,,45151,45151
Gloria,12.9167,121.4667,Philippines,PH,Oriental Mindoro,,45073,45073
New Washington,11.6500,122.4333,Philippines,PH,Aklan,,45007,45007
Sogod,10.3833,124.9833,Philippines,PH,Southern Leyte,,44986,44986
Maitum,6.0333,124.4833,Philippines,PH,Sarangani,,44595,44595
Talagutong,6.2667,125.6667,Philippines,PH,Davao Occidental,,44554,44554
Lal-lo,18.2000,121.6667,Philippines,PH,Cagayan,,44506,44506
Kabasalan,7.7968,122.7627,Philippines,PH,Zamboanga Sibugay,minor,44336,44336
Balimbing,5.0728,119.8847,Philippines,PH,Tawi-Tawi,,44184,44184
Narvacan,17.4175,120.4753,Philippines,PH,Ilocos Sur,,44006,44006
Libona,8.3333,124.7333,Philippines,PH,Bukidnon,,43969,43969
Malabang,7.5903,124.0703,Philippines,PH,Lanao del Sur,,43957,43957
Lupao,15.8793,120.8983,Philippines,PH,Nueva Ecija,,43788,43788
Tuy,14.0167,120.7333,Philippines,PH,Batangas,,43743,43743
Montevista,7.7000,125.9833,Philippines,PH,Compostela Valley,,43706,43706
Veruela,8.0698,125.9554,Philippines,PH,Agusan del Sur,,43706,43706
Claveria,12.9035,123.2457,Philippines,PH,Masbate,minor,43693,43693
Banisilan,7.5000,124.7000,Philippines,PH,Cotabato,,43677,43677
Roseller Lim,7.6568,122.4701,Philippines,PH,Zamboanga Sibugay,minor,43646,43646
Buguias,16.7167,120.8333,Philippines,PH,Benguet,,43627,43627
Vinzons,14.1833,122.9000,Philippines,PH,Camarines Norte,,43485,43485
Alcala,15.8468,120.5218,Philippines,PH,Pangasinan,,43402,43402
Tantangan,6.6167,124.7500,Philippines,PH,South Cotabato,,43245,43245
Jaro,11.1833,124.7833,Philippines,PH,Leyte,,43199,43199
Concepcion,11.2000,123.1000,Philippines,PH,Iloilo,,43159,43159
Tayug,16.0267,120.7478,Philippines,PH,Pangasinan,,43149,43149
Angadanan,16.7571,121.7479,Philippines,PH,Isabela,,43061,43061
Mamburao,13.2233,120.5960,Philippines,PH,Occidental Mindoro,admin,42975,42975
Cordon,16.6667,121.4500,Philippines,PH,Isabela,,42926,42926
Daram,11.6341,124.7947,Philippines,PH,Samar,,42879,42879
Dolores,12.0500,125.4833,Philippines,PH,Eastern Samar,,42866,42866
Manay,7.2167,126.5333,Philippines,PH,Davao Oriental,,42690,42690
Loreto,8.1856,125.8538,Philippines,PH,Agusan del Sur,,42501,42501
Manjuyod,9.6833,123.1500,Philippines,PH,Negros Oriental,,42332,42332
Pagsanjan,14.2667,121.4500,Philippines,PH,Laguna,,42164,42164
Toboso,10.7167,123.5167,Philippines,PH,Negros Occidental,,42114,42114
Bacnotan,16.7333,120.3833,Philippines,PH,La Union,,42078,42078
Lower Tungawan,7.6017,122.4273,Philippines,PH,Zamboanga Sibugay,,42030,42030
Nasipit,8.9884,125.3408,Philippines,PH,Agusan del Norte,,41957,41957
Villaba,11.2167,124.4000,Philippines,PH,Leyte,,41891,41891
Pilar,14.6667,120.5667,Philippines,PH,Bataan,,41823,41823
Labangan,7.8667,123.5167,Philippines,PH,Zamboanga del Sur,,41790,41790
Sumisip,6.4167,121.9833,Philippines,PH,Basilan,,41730,41730
General Mamerto Natividad,15.6025,121.0515,Philippines,PH,Nueva Ecija,,41656,41656
El Nido,11.1956,119.4075,Philippines,PH,Palawan,,41606,41606
Kalilangan,7.7500,124.7500,Philippines,PH,Bukidnon,,41601,41601
Santa Rita,11.4667,124.9500,Philippines,PH,Samar,,41591,41591
Siay,7.7056,122.8641,Philippines,PH,Zamboanga Sibugay,,41572,41572
Lobo,13.6500,121.2500,Philippines,PH,Batangas,,41504,41504
Aguilar,15.8899,120.2379,Philippines,PH,Pangasinan,,41463,41463
President Quirino,6.7000,124.7333,Philippines,PH,Sultan Kudarat,minor,41408,41408
Moises Padilla,10.2667,123.0833,Philippines,PH,Negros Occidental,,41386,41386
Labason,8.0667,122.5167,Philippines,PH,Zamboanga del Norte,,41357,41357
Mandaon,12.2259,123.2842,Philippines,PH,Masbate,,41262,41262
Culasi,11.4272,122.0560,Philippines,PH,Antique,,41228,41228
Carranglan,15.9667,121.0667,Philippines,PH,Nueva Ecija,,41131,41131
Banaybanay,6.9699,126.0126,Philippines,PH,Davao Oriental,minor,41117,41117
Guambog,7.3000,125.8500,Philippines,PH,Compostela Valley,,41102,41102
Matnog,12.5833,124.0833,Philippines,PH,Sorsogon,,41101,41101
Palayan City,15.5333,121.0833,Philippines,PH,Nueva Ecija,admin,41041,41041
Basud,14.0667,122.9667,Philippines,PH,Camarines Norte,,41017,41017
Pananaw,5.9833,121.2500,Philippines,PH,Sulu,,40998,40998
Proper Bansud,12.8333,121.3667,Philippines,PH,Oriental Mindoro,,40992,40992
Santa Rita,14.9953,120.6153,Philippines,PH,Pampanga,,40979,40979
Santo Niño,6.4333,124.6833,Philippines,PH,South Cotabato,,40947,40947
San Jacinto,16.0725,120.4411,Philippines,PH,Pangasinan,,40848,40848
Santa Elena,14.2000,122.3833,Philippines,PH,Camarines Norte,,40786,40786
Maria Aurora,15.7967,121.4737,Philippines,PH,Aurora,,40734,40734
Cateel,7.7833,126.4500,Philippines,PH,Davao Oriental,,40704,40704
Maluso,6.5500,121.8833,Philippines,PH,Basilan,,40646,40646
Leyte,11.3667,124.4833,Philippines,PH,Leyte,,40639,40639
San Jose,13.7000,123.5167,Philippines,PH,Camarines Sur,,40623,40623
Quezon,15.5500,120.8167,Philippines,PH,Nueva Ecija,,40592,40592
Santo Tomas,14.9667,120.7167,Philippines,PH,Pampanga,,40475,40475
Caraga,7.3333,126.5667,Philippines,PH,Davao Oriental,,40379,40379
Panitan,11.4667,122.7667,Philippines,PH,Capiz,,40289,40289
South Upi,6.8548,124.1443,Philippines,PH,Maguindanao,,40178,40178
Balabac,7.9833,117.0500,Philippines,PH,Palawan,,40142,40142
Abucay,14.7222,120.5354,Philippines,PH,Bataan,,39880,39880
Santa Cruz,17.0833,120.4500,Philippines,PH,Ilocos Sur,,39868,39868
Hinatuan,8.3667,126.3333,Philippines,PH,Surigao del Sur,minor,39842,39842
Tucuran,7.8500,123.5833,Philippines,PH,Zamboanga del Sur,,39820,39820
Payabon,9.7667,123.1333,Philippines,PH,Negros Oriental,,39819,39819
Liloy,8.1167,122.6667,Philippines,PH,Zamboanga del Norte,,39812,39812
Nueva Valencia,10.5259,122.5398,Philippines,PH,Guimaras,,39810,39810
Llanera,15.6667,121.0167,Philippines,PH,Nueva Ecija,,39701,39701
Pagalungan,7.0592,124.6987,Philippines,PH,Maguindanao,,39653,39653
Mambusao,11.4333,122.6000,Philippines,PH,Capiz,,39644,39644
Kibawe,7.5667,124.9833,Philippines,PH,Bukidnon,,39612,39612
Baler,15.7583,121.5625,Philippines,PH,Aurora,admin,39562,39562
Tampakan,6.4500,124.9333,Philippines,PH,South Cotabato,,39525,39525
Bañga,11.6333,122.3333,Philippines,PH,Aklan,,39505,39505
Anda,16.2896,119.9491,Philippines,PH,Pangasinan,,39504,39504
Bacolor,14.9984,120.6526,Philippines,PH,Pampanga,,39460,39460
Laurel,14.0500,120.9000,Philippines,PH,Batangas,,39444,39444
Cabatuan,16.9589,121.6692,Philippines,PH,Isabela,,39413,39413
Villanueva,8.5833,124.7833,Philippines,PH,Misamis Oriental,,39378,39378
Polanco,8.5333,123.3667,Philippines,PH,Zamboanga del Norte,,39347,39347
San Miguel,8.8833,126.0000,Philippines,PH,Surigao del Sur,,39340,39340
President Manuel Acuña Roxas,8.5196,123.2277,Philippines,PH,Zamboanga del Norte,,39323,39323
Victoria,14.2250,121.3250,Philippines,PH,Laguna,,39321,39321
Tagudin,16.9333,120.4500,Philippines,PH,Ilocos Sur,,39277,39277
Balaoan,16.8167,120.4000,Philippines,PH,La Union,,39188,39188
Lasam,18.0667,121.6000,Philippines,PH,Cagayan,,39135,39135
Bulalacao,12.3333,121.3500,Philippines,PH,Oriental Mindoro,,39107,39107
Socorro,13.0583,121.4117,Philippines,PH,Oriental Mindoro,,39099,39099
Santo Tomas,16.2833,120.3833,Philippines,PH,La Union,,39092,39092
Tabogon,10.9333,124.0333,Philippines,PH,Cebu,,39013,39013
Plaridel,8.6214,123.7101,Philippines,PH,Misamis Occidental,,38900,38900
Gonzaga,18.2667,122.0000,Philippines,PH,Cagayan,,38892,38892
Alcala,17.9031,121.6590,Philippines,PH,Cagayan,,38883,38883
Tagbina,8.4500,126.1667,Philippines,PH,Surigao del Sur,,38833,38833
Mobo,12.3333,123.6500,Philippines,PH,Masbate,,38813,38813
San Dionisio,11.2711,123.0948,Philippines,PH,Iloilo,,38775,38775
Romblon,12.5789,122.2747,Philippines,PH,Romblon,admin,38758,38758
Mambajao,9.2500,124.7167,Philippines,PH,Camiguin,admin,38735,38735
Malalag,6.6000,125.4000,Philippines,PH,Davao del Sur,,38731,38731
Mondragon,12.5167,124.7500,Philippines,PH,Northern Samar,,38726,38726
La Libertad,10.0333,123.2167,Philippines,PH,Negros Oriental,,38602,38602
Dingras,18.1000,120.7000,Philippines,PH,Ilocos Norte,,38562,38562
Naga,7.7887,122.6953,Philippines,PH,Zamboanga Sibugay,,38547,38547
Maddela,16.3500,121.7000,Philippines,PH,Quirino,,38499,38499
Maayon,11.3833,122.7833,Philippines,PH,Capiz,,38416,38416
Alimodian,10.8196,122.4322,Philippines,PH,Iloilo,,38408,38408
Talacogon,8.4488,125.7869,Philippines,PH,Agusan del Sur,,38374,38374
Rizal,12.4667,120.9667,Philippines,PH,Occidental Mindoro,,38263,38263
Vallehermoso,10.3333,123.3167,Philippines,PH,Negros Oriental,,38259,38259
Balud,12.0369,123.1935,Philippines,PH,Masbate,,38124,38124
Siniloan,14.4167,121.4500,Philippines,PH,Laguna,,38067,38067
Agoncillo,13.9334,120.9285,Philippines,PH,Batangas,,38059,38059
Taysan,13.7833,121.2000,Philippines,PH,Batangas,,38007,38007
Las Navas,12.3400,125.0320,Philippines,PH,Northern Samar,,37947,37947
Maimbung,5.9333,121.0333,Philippines,PH,Sulu,,37914,37914
Badian,9.8694,123.3959,Philippines,PH,Cebu,minor,37912,37912
Margosatubig,7.5783,123.1659,Philippines,PH,Zamboanga del Sur,,37873,37873
Valladolid,10.4667,122.8333,Philippines,PH,Negros Occidental,,37833,37833
Malilipot,13.3167,123.7333,Philippines,PH,Albay,,37785,37785
Maragondon,14.2667,120.7333,Philippines,PH,Cavite,,37720,37720
Kasibu,16.3167,121.2833,Philippines,PH,Nueva Vizcaya,,37705,37705
Amadeo,14.1728,120.9277,Philippines,PH,Cavite,,37649,37649
Pamplona,9.4667,123.1167,Philippines,PH,Negros Oriental,,37596,37596
Clarin,8.2000,123.8500,Philippines,PH,Misamis Occidental,,37548,37548
Cabugao,17.8000,120.4500,Philippines,PH,Ilocos Sur,,37501,37501
Santa Cruz,13.1167,120.8500,Philippines,PH,Occidental Mindoro,,37484,37484
Aritao,16.2973,121.0338,Philippines,PH,Nueva Vizcaya,,37225,37225
Baco,13.3584,121.0977,Philippines,PH,Oriental Mindoro,,37215,37215
San Juan,16.6667,120.3333,Philippines,PH,La Union,,37188,37188
Patnongon,10.9167,121.9833,Philippines,PH,Antique,,37176,37176
Poblacion,7.5000,125.9333,Philippines,PH,Compostela Valley,,37065,37065
Mapandan,16.0167,120.4500,Philippines,PH,Pangasinan,,37059,37059
Maasin,10.8833,122.4333,Philippines,PH,Iloilo,,36922,36922
Rapu-Rapu,13.1833,124.1333,Philippines,PH,Albay,,36920,36920
Basilisa,10.0654,125.5968,Philippines,PH,Surigao del Norte,,36880,36880
Mabuhay,7.4176,122.8370,Philippines,PH,Zamboanga Sibugay,,36870,36870
